period_end,section,code,ticker,quantity,market_price,value,weight,asOf
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.2,ACB,9433101,21900,206584911900,0.0345940730315436,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.3,BID,12300000,38000,467400000000,0.0782693643317494,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.4,BSR,2219700,25350,56269395000,0.00942269956778374,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.5,CII,680000,13100,8908000000,0.00149170624190677,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.6,CTG,3303905,30800,101760274000,0.0170404620457951,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.7,CTR,478820,71900,34427158000,0.00576506583741699,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.8,DHC,802860,32900,26414094000,0.00442322282152134,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.9,DMX,1090000,80000,87200000000,0.0146022434097744,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.10,DPG,140200,27700,3883540000,0.000650325646463248,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.11,DPM,2077200,23550,48918060000,0.00819166765199482,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.12,DRI,379400,12900,4894260000,0.000819577704480762,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.13,DXS,630000,5750,3622500000,0.000606612692109034,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.14,FPT,426800,67100,28638280000,0.00479567815822562,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.15,GEL,1222900,25900,31673110000,0.00530388144225412,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.16,GMD,1474300,77000,113521100000,0.0190098937424924,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.17,HDB,7866024,25200,198223804800,0.0331939477901514,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.18,HHS,191200,9520,1820224000,0.000304809104453133,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.19,HPG,10751678,21700,233311412600,0.0390696105167833,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.20,HVN,364631,21500,7839566500,0.00131278965894625,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.21,MBB,559300,22500,12584250000,0.00210731974345703,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.22,MSB,4433000,15950,70706350000,0.0118402675839071,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.23,MSN,932400,66100,61631640000,0.0103206445988944,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.24,MWG,5269400,69900,368331060000,0.0616795847878465,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.25,NVL,388600,13000,5051800000,0.000845958867631861,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.26,OCB,221520,10150,2248428000,0.000376514827354957,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.27,PC1,3200200,21400,68484280000,0.0114681665860452,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.28,PET,804690,38000,30578220000,0.00512053453529394,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.29,POW,8848700,13600,120342320000,0.020152154233222,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.30,PVD,1372136,18150,24904268400,0.0041703920770545,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.31,PVS,390200,34100,13305820000,0.00222815163310372,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.32,SHB,682546,11500,7849279000,0.00131441608428017,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.33,STB,1675300,71300,119448890000,0.0200025431973322,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.34,TAL,1516220,22250,33735895000,0.0056493090646398,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.35,TCB,5076700,28950,146970465000,0.0246112213758914,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.36,TCX,189000,41000,7749000000,0.00129762367181585,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.37,TVN,1364000,8700,11866800000,0.00198717777632008,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.38,VCB,1477600,59300,87621680000,0.0146728566437312,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.39,VHM,1792500,148100,265469250000,0.0444546629164019,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.40,VIC,2812600,214100,602177660000,0.100838816138169,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.41,VND,4668000,16600,77488800000,0.0129760357698547,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.42,VNM,1574600,60900,95893140000,0.016057969857885,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.43,VPB,7698650,24800,190926520000,0.0319719669543711,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.44,VPX,4556400,25400,115732560000,0.0193802180224349,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2247,,,,4279579050800,0.716645126045331,2026-08-03
2026-07-31,"SHARES UNLISTED, UNREGISTERED FOR TRADING, UNLISTED FUND CERTIFICATES",2248,,,,,,2026-08-03
2026-07-31,"SHARES UNLISTED, UNREGISTERED FOR TRADING, UNLISTED FUND CERTIFICATES",2249,,,,0,0,2026-08-03
2026-07-31,BONDS,2251,,,,,,2026-08-03
2026-07-31,BONDS,2251.1,Listed bonds,,,0,0,2026-08-03
2026-07-31,BONDS,2251.2,"Unlisted Bonds, Private placement bonds",,,53382400000,0.00893925227749932,2026-08-03
2026-07-31,BONDS,2251.2.1,CII425002 HCMC JSC UNL BOND 25/06/41,533824,100000,53382400000,0.00893925227749932,2026-08-03
2026-07-31,BONDS,2252,,,,53382400000,0.00893925227749932,2026-08-03
2026-07-31,OTHER SECURITIES,2253,,,,,,2026-08-03
2026-07-31,OTHER SECURITIES,2253.1,Investment - Rights,,,0,0,2026-08-03
2026-07-31,OTHER SECURITIES,2253.2,Index future contracts,,,0,0,2026-08-03
2026-07-31,OTHER SECURITIES,2254,,,,0,0,2026-08-03
2026-07-31,OTHER SECURITIES,2255,,,,4332961450800,0.72558437832283,2026-08-03
2026-07-31,OTHER ASSETS,2256,,,,,,2026-08-03
2026-07-31,OTHER ASSETS,2256.1,Dividend receivables,,,12752927250,0.00213556591618859,2026-08-03
2026-07-31,OTHER ASSETS,2256.2,Coupon receivables,,,541136658,9.06170779594935e-05,2026-08-03
2026-07-31,OTHER ASSETS,2256.3,Interest receivables from bank deposits and Money market instruments,,,546000001,9.14314783983837e-05,2026-08-03
2026-07-31,OTHER ASSETS,2256.4,Outstanding Settlement of sales transactions,,,334210198000,0.0559658103351479,2026-08-03
2026-07-31,OTHER ASSETS,2256.5,Receivable from AP/Investors on securities on hold of buying,,,0,0,2026-08-03
2026-07-31,OTHER ASSETS,2256.6,Other receivables,,,-866400000,-0.000145084675346657,2026-08-03
2026-07-31,OTHER ASSETS,2256.7,Other assets,,,0,0,2026-08-03
2026-07-31,OTHER ASSETS,2257,,,,347183861909,0.0581383401323477,2026-08-03
2026-07-31,CASH,2258,,,,,,2026-08-03
2026-07-31,CASH,2259,"Cash, Cash Equivalent",,,1191539828610,0.199531589561973,2026-08-03
2026-07-31,CASH,2259.1,Cash at Bank,,,1003539828610,0.168049688632643,2026-08-03
2026-07-31,CASH,2259.2,Cash Equivalents,,,188000000000,0.0314819009293301,2026-08-03
2026-07-31,CASH,2260,Deposits with term over three (03) months,,,0,0,2026-08-03
2026-07-31,CASH,2261.1,Money market instruments,,,99999999995,0.0167456919828489,2026-08-03
2026-07-31,CASH,2262,,,,1291539828605,0.216277281544822,2026-08-03
2026-07-31,Total value of portfolio,2263,,,,5971685141314,1,2026-08-03
2026-07-31,,2264,,,,,,2026-08-03
