date,buy,sell
2024-03-18,67850000,69050000
2024-03-19,67900000,69100000
2024-03-20,67950000,69150000
2024-03-21,69100000,70500000
2024-03-22,68350000,69650000
2024-03-23,68300000,69600000
2024-03-25,68450000,69700000
2024-03-26,69050000,70250000
2024-03-27,68950000,70150000
2024-03-28,69400000,70700000
2024-03-29,69500000,70750000
2024-04-01,69750000,71150000
2024-04-02,70000000,71150000
2024-04-03,70350000,71600000
2024-04-04,71000000,72400000
2024-04-05,71400000,72700000
2024-04-06,72700000,74150000
2024-04-07,73000000,74450000
2024-04-08,73800000,75200000
2024-04-09,76150000,77850000
2024-04-10,76800000,78600000
2024-04-11,74450000,76400000
2024-04-12,76250000,78350000
2024-04-13,74050000,76150000
2024-04-14,74550000,76650000
2024-04-15,75550000,77450000
2024-04-16,75150000,77050000
2024-04-17,75350000,77150000
2024-04-18,74950000,76850000
2024-04-19,75550000,77350000
2024-05-21,76100000,77600000
2024-05-22,76100000,77550000
2024-05-23,75650000,77100000
2024-05-24,75250000,76700000
2024-05-25,75250000,76700000
2024-05-26,75250000,76700000
2024-05-27,75300000,76750000
2024-05-28,75400000,76800000
2024-05-29,75150000,76550000
2024-05-30,74700000,76050000
2024-05-31,74650000,76000000
2024-06-01,74150000,75750000
2024-06-03,74050000,75300000
2024-06-04,74000000,75200000
2024-06-05,73850000,75100000
2024-06-06,74250000,75500000
2024-06-07,74350000,75800000
2024-06-08,73450000,74900000
2024-06-09,73450000,74900000
2024-06-10,73350000,74600000
2024-06-11,73350000,74700000
2024-06-12,73700000,74950000
2024-06-13,73700000,74900000
2024-06-14,74050000,75250000
2024-06-15,74250000,75500000
2024-06-16,74250000,75500000
2024-06-17,74300000,75550000
2024-06-18,74300000,75550000
2024-06-19,74350000,75600000
2024-06-20,74550000,75800000
2024-06-21,75100000,76300000
2024-06-22,74700000,76050000
2024-06-23,74550000,75900000
2024-06-24,74600000,75900000
2024-06-25,74700000,76000000
2024-06-26,74500000,75800000
2024-06-27,74450000,75700000
2024-06-28,74650000,75900000
2024-06-29,74650000,75900000
2024-06-30,74650000,75900000
2024-07-01,74700000,75950000
2024-07-02,74800000,76100000
2024-07-03,74700000,76250000
2024-07-04,74900000,76350000
2024-07-05,75050000,76350000
2024-07-06,75650000,76950000
2024-07-07,75650000,76950000
2024-07-08,75150000,76500000
2024-07-09,75150000,76400000
2024-07-10,75300000,76600000
2024-07-11,75600000,76800000
2024-07-12,75900000,77150000
2024-07-13,75900000,77150000
2024-07-14,75900000,77150000
2024-07-15,76200000,77450000
2024-07-16,76250000,77500000
2024-07-17,76450000,77700000
2024-07-18,76500000,77700000
2024-07-19,76100000,77350000
2024-07-20,75900000,77150000
2024-07-21,75900000,77150000
2024-07-22,75950000,77200000
2024-07-23,75900000,77150000
2024-07-24,76000000,77250000
2024-07-25,75750000,77000000
2024-07-26,75600000,76850000
2024-07-27,75800000,77050000
2024-07-28,75800000,77050000
2024-07-29,75850000,77100000
2024-07-30,75750000,77000000
2024-07-31,76100000,77300000
2024-08-01,76400000,77650000
2024-08-02,76400000,77650000
2024-08-03,76400000,77550000
2024-08-04,76400000,77550000
2024-08-05,76400000,77550000
2024-08-06,76200000,77450000
2024-08-07,76050000,77250000
2024-08-08,76050000,77250000
2024-08-09,76250000,77500000
2024-08-10,76350000,77600000
2024-08-11,76350000,77600000
2024-08-12,76400000,77600000
2024-08-13,76700000,77900000
2024-08-14,76700000,77900000
2024-08-15,76550000,77750000
2024-08-16,76500000,77700000
2024-08-17,77000000,78400000
2024-08-18,77000000,78400000
2024-08-19,76950000,78200000
2024-08-20,77050000,78300000
2024-08-21,77150000,78350000
2024-08-22,77150000,78350000
2024-08-23,77100000,78300000
2024-08-24,77200000,78400000
2024-08-25,77200000,78400000
2024-08-26,77350000,78550000
2024-08-27,77450000,78550000
2024-08-28,77550000,78650000
2024-08-29,77550000,78650000
2024-09-04,77400000,78550000
