date,buy,sell
2009-07-22,21060000,21120000
2009-07-23,21140000,21190000
2009-07-24,21090000,21140000
2009-07-27,21130000,21190000
2009-08-26,21130000,21190000
2009-09-21,22090000,22140000
2009-09-22,22220000,22280000
2009-09-23,22270000,22320000
2009-09-24,22230000,22280000
2009-09-25,22070000,22130000
2009-09-26,22040000,22090000
2009-09-28,22070000,22120000
2009-09-29,22090000,22140000
2009-09-30,22190000,22240000
2009-10-01,22250000,22300000
2009-10-02,22180000,22230000
2009-10-03,22220000,22270000
2009-10-05,22270000,22320000
2009-10-06,22500000,22560000
2009-10-07,22920000,22990000
2009-10-08,23130000,23190000
2009-10-09,23040000,23090000
2009-10-10,23070000,23120000
2009-10-12,23150000,23200000
2009-10-13,23490000,23550000
2009-10-14,23760000,23840000
2009-10-15,23570000,23640000
2009-10-16,23470000,23520000
2009-10-17,23570000,23620000
2009-10-19,23650000,23700000
2009-10-20,23820000,23890000
2009-10-21,23740000,23790000
2009-10-22,23800000,23850000
2009-10-23,23890000,23940000
2009-10-26,23890000,23950000
2009-10-27,23800000,23860000
2009-10-28,23790000,23850000
2009-10-29,23720000,23780000
2009-10-30,23800000,23850000
2009-10-31,23820000,23880000
2009-11-02,23890000,23950000
2009-11-03,24000000,24060000
2009-11-04,24650000,24750000
2009-11-05,24670000,24750000
2009-11-06,25260000,25360000
2009-11-07,25300000,25400000
2009-11-09,26300000,26500000
2009-11-10,26550000,26750000
2009-11-11,26800000,27500000
2009-11-12,25500000,26000000
2009-11-13,25800000,26300000
2009-11-14,26300000,26800000
2009-11-16,26500000,26800000
2009-11-17,26700000,26900000
2009-11-18,26970000,27170000
2009-11-19,26900000,27100000
2009-11-20,27260000,27360000
2009-11-21,27480000,27580000
2009-11-23,28350000,28450000
2009-11-24,28470000,28570000
2009-11-25,28520000,28600000
2009-11-26,28600000,28680000
2009-11-27,27900000,28200000
2009-11-28,28150000,28250000
2009-11-30,27900000,28000000
2009-12-01,28350000,28420000
2009-12-02,28650000,28700000
2009-12-03,28550000,28600000
2009-12-04,28490000,28530000
2009-12-05,28000000,28150000
2009-12-07,27850000,27900000
2009-12-08,28000000,28060000
2009-12-09,27630000,27680000
2009-12-10,27320000,27370000
2009-12-11,27200000,27300000
2009-12-12,26750000,26900000
2009-12-14,26840000,26920000
2009-12-15,26940000,27000000
2009-12-16,27050000,27130000
2009-12-17,27160000,27220000
2009-12-18,26800000,26860000
2009-12-19,27000000,27100000
2009-12-21,26950000,27020000
2009-12-22,26610000,26680000
2009-12-23,26150000,26230000
2009-12-24,26430000,26500000
2009-12-25,26480000,26560000
2009-12-26,26550000,26600000
2009-12-28,26800000,26880000
2009-12-29,26600000,26650000
2009-12-30,26410000,26480000
2009-12-31,26540000,26740000
2010-01-02,26620000,26700000
2010-01-04,26690000,26760000
2010-01-05,26880000,26960000
2010-01-06,26810000,26880000
2010-01-07,26910000,26980000
2010-01-08,26760000,26830000
2010-01-09,26850000,26930000
2010-01-11,27120000,27180000
2010-01-12,27140000,27190000
2010-01-13,26870000,26930000
2010-01-14,26870000,26930000
2010-01-15,26820000,26880000
2010-01-16,26780000,26840000
2010-01-18,26800000,26860000
2010-01-19,26810000,26870000
2010-01-20,26760000,26820000
2010-01-21,26540000,26600000
2010-01-22,26330000,26380000
2010-01-23,26360000,26420000
2010-01-25,26450000,26500000
2010-01-26,26400000,26450000
2010-01-27,26390000,26440000
2010-01-28,26440000,26500000
2010-01-29,26380000,26430000
2010-01-30,26370000,26420000
2010-02-01,26320000,26380000
2010-02-02,26390000,26450000
2010-02-03,26480000,26540000
2010-02-04,26370000,26430000
2010-02-05,24900000,25000000
2010-02-06,25200000,25300000
2010-02-08,25080000,25180000
2010-02-09,25160000,25260000
2010-02-10,25660000,25760000
2010-02-11,26150000,26250000
2010-02-12,26320000,26420000
2010-02-14,26320000,26420000
2010-02-18,26550000,26650000
2010-02-19,26500000,26600000
2010-02-20,26650000,26750000
2010-02-22,26600000,26680000
2010-02-23,26550000,26620000
2010-02-24,26380000,26450000
2010-02-25,26260000,26320000
2010-02-26,26410000,26470000
